iteration,x-axis,y-axix,x-axis,y-axix
278, "x, 312.66, y, -149.10)"
279, "x, 312.66, y, -149.10)"
280, "x, 222.87, y, -22.17)"
281, "x, 135.62, y, 58.68)"
282, "x, 93.01, y, 108.69)"
283, "x, 417.67, y, -258.83)"
284, "x, 266.46, y, -94.88)"
285, "x, 157.82, y, 32.63)"
286, "x, 157.82, y, 32.63)"
287, "x, 157.82, y, 32.63)"
288, "x, 148.53, y, 43.54)"
289, "x, 148.53, y, 45.53)"
290, "x, 333.38, y, -173.42)"
291, "x, 336.09, y, -173.59)"
292, "x, 231.77, y, -54.17)"
293, "x, 231.77, y, -54.17)"
294, "x, 231.77, y, -54.17)"
295, "x, 98.99, y, 101.67)"
297, "x, 1202.98, y, -1194.03)"
298, "x, 1090.93, y, -1062.52)"
299, "x, 768.97, y, -684.65)"
300, "x, 139.78, y, 53.79)"
